John Doe, j.doe@abc.co.za, Password123
Jane Smith, j.smith@xyz.co.za, Password456
Tom Riddle, tom.riddle@hogwarts.edu, Password789
Harry Potter, harry.potter@wizardingworld.com, Password321
Hermione Grang, hermione.granger@hogwarts.edu, Password654
Ron Weasley, ron.weasley@hogwarts.edu, Password987
Albus Dumbledore, albus.dumbledore@hogwarts.edu, PasswordMagic
Severus Snape, severus.snape@hogwarts.edu, PasswordPotions
Minerva McGonagall, minerva.mcgonagall@hogwarts.edu, PasswordTransfiguration
Rubeus Hagrid, rubeus.hagrid@hogwarts.edu, PasswordGiant
Sirius Black, sirius.black@wizardingworld.com, PasswordPrisoner
Remus Lupin, remus.lupin@wizardingworld.com, PasswordWolf
Arthur Weasley, arthur.weasley@ministry.co.uk, PasswordMuggle
Molly Weasley, molly.weasley@burrow.co.uk, PasswordFamily
Fred Weasley, fred.weasley@weasleyjokes.com, PasswordTwin
George Weasley, george.weasley@weasleyjokes.com, PasswordJoker
Ginny Weasley, ginny.weasley@hogwarts.edu, PasswordChaser
Luna Lovegood, luna.lovegood@quirky.com, PasswordRavenclaw
Neville Longbottom, neville.longbottom@hogwarts.edu, PasswordHerbology
Bellatrix Lestrange, bellatrix.lestrange@darkarts.co.uk, PasswordCrucio
Lucius Malfoy, lucius.malfoy@malfoymanor.co.uk, PasswordSlytherin
Narcissa Malfoy, narcissa.malfoy@malfoymanor.co.uk, PasswordMother
Draco Malfoy, draco.malfoy@hogwarts.edu, PasswordPureblood
Cho Chang, cho.chang@hogwarts.edu, PasswordSeeker
Cedric Diggory, cedric.diggory@hufflepuff.co.uk, PasswordChampion
Sirius Black, sirius.black@grimmauldplace.co.uk, PasswordPadfoot
Remus Lupin, remus.lupin@werewolfregistry.org, PasswordMoony
Severus Snape, severus.snape@hogwarts.edu, PasswordHalfBlood
Bellatrix Lestrange, bellatrix.lestrange@azkaban.co.uk, PasswordCrucio
Arthur Weasley, arthur.weasley@burrow.co.uk, PasswordMuggleLover
